a_物件名,b_住所,c_アクセス,d_築年数,e_部屋の階数,f_賃料,g_管理費,h_敷金,i_礼金,j_間取り,k_専有面積
ソラーナ　I,島根県出雲市矢野町, 一畑電車大社線/遙堪駅 歩21分   , 築10年 2階建 ,             2階,5.15万円,3000円,-,5.15万円,2LDK,57.64m2
ミューク　Ａ,島根県出雲市知井宮町, ＪＲ山陰本線/西出雲駅 歩13分   , 築7年 2階建 ,             2階,5.65万円,3000円,-,5.65万円,2LDK,61.45m2
コールドゥ　Ａ,島根県出雲市斐川町中洲, ＪＲ山陰本線/荘原駅 歩31分   , 築11年 2階建 ,             2階,5.3万円,1700円,-,5.3万円,2LDK,57.71m2
コンシェルシミズ　I,島根県出雲市中野町, 一畑電気鉄道松江線/大津町駅 歩13分   , 築15年 2階建 ,             2階,5.6万円,1700円,-,5.6万円,3LDK,67.83m2
ａｎｇｅ　II,島根県出雲市斐川町沖洲, ＪＲ山陰本線/荘原駅 歩22分   , 築7年 2階建 ,             1階,5.4万円,2200円,-,5.4万円,2DK,50.29m2
アヴィタシオンＫ－III　Ｂ,島根県出雲市斐川町直江, ＪＲ山陰本線/直江駅 歩30分   , 築7年 2階建 ,             2階,5.65万円,2200円,-,5.65万円,2LDK,61.96m2
アヴィタシオンＫ－III　Ｂ,島根県出雲市斐川町直江, ＪＲ山陰本線/直江駅 歩30分   , 築7年 2階建 ,             2階,5.9万円,2200円,-,5.9万円,2LDK,61.96m2
アヴィタシオンＫ－III　Ｂ,島根県出雲市斐川町直江, ＪＲ山陰本線/直江駅 歩30分   , 築7年 2階建 ,             2階,5.9万円,2200円,-,5.9万円,2LDK,61.96m2
ルミエール・Ｍ　Ｂ棟,島根県出雲市高岡町, 一畑電車大社線/高浜駅 歩13分   , 築12年 2階建 ,             2階,5.5万円,2500円,-,5.5万円,2LDK,57.07m2
アルミネ,島根県出雲市知井宮町, ＪＲ山陰本線/西出雲駅 歩19分   , 築8年 2階建 ,             2階,4.9万円,3000円,-,-,2LDK,52.83m2
ブラウアー　ヒンメルＢ,島根県出雲市塩冶神前６, ＪＲ山陰本線/出雲市駅 歩23分   , 築9年 2階建 ,             2階,5.25万円,2200円,-,5.25万円,1LDK,45.07m2
ミューク　Ｂ,島根県出雲市知井宮町, ＪＲ山陰本線/西出雲駅 歩13分   , 築7年 2階建 ,             2階,5.6万円,3000円,-,5.6万円,2LDK,61.45m2
ヴィラ　ピース　Ｂ,島根県出雲市斐川町富村, ＪＲ山陰本線/直江駅 歩15分   , 築12年 2階建 ,             1階,4.45万円,1700円,-,4.45万円,2DK,45.39m2
ヴィラ　ピース　Ｂ,島根県出雲市斐川町富村, ＪＲ山陰本線/直江駅 歩15分   , 築12年 2階建 ,             1階,4.6万円,1700円,-,4.6万円,2DK,45.39m2
ヴィラ　ピース　Ｂ,島根県出雲市斐川町富村, ＪＲ山陰本線/直江駅 歩15分   , 築12年 2階建 ,             2階,4.95万円,1700円,-,-,2LDK,57.26m2
ヴィラ　ピース　Ｂ,島根県出雲市斐川町富村, ＪＲ山陰本線/直江駅 歩15分   , 築12年 2階建 ,             2階,5.15万円,1700円,-,-,2LDK,57.26m2
ヴィラ　ピース　Ｂ,島根県出雲市斐川町富村, ＪＲ山陰本線/直江駅 歩15分   , 築12年 2階建 ,             2階,5.15万円,1700円,-,-,2LDK,57.21m2
レフィーノ,島根県出雲市渡橋町, ＪＲ山陰本線/出雲市駅 車7分(2.0km)   , 築12年 2階建 ,             1階,5.8万円,2000円,5.8万円,-,2LDK,49.43m2
レフィーノ,島根県出雲市渡橋町, ＪＲ山陰本線/出雲市駅 車7分(2.0km)   , 築12年 2階建 ,             1階,5.8万円,2500円,5.8万円,-,2LDK,49.43m2
カーサ　ベルデ,島根県出雲市下古志町, ＪＲ山陰本線/西出雲駅 歩28分   , 築12年 2階建 ,             2階,5.35万円,2500円,-,-,2LDK,57.25m2
ユーミー浜根,島根県出雲市大社町中荒木, 一畑電車大社線/出雲大社前駅 歩24分   , 築7年 3階建 ,             3階,5.6万円,-,11.2万円,-,2LDK,53.47m2
ユーミー浜根,島根県出雲市大社町中荒木, 一畑電車大社線/出雲大社前駅 歩24分   , 築7年 3階建 ,             3階,5.8万円,-,11.6万円,-,2LDK,53.47m2
フルール　Ｙ・ＹI,島根県出雲市知井宮町, ＪＲ山陰本線/西出雲駅 歩10分   , 築10年 2階建 ,             1階,5.2万円,3000円,-,5.2万円,2LDK,53.95m2
ＪＲ山陰本線 出雲市駅 3階建 築10年,島根県出雲市渡橋町, ＪＲ山陰本線/出雲市駅 歩19分 一畑電気鉄道松江線/電鉄出雲市駅 車5分(1.9km) 一畑電気鉄道松江線/出雲科学館パーク前駅 車6分(2.4km) , 築10年 3階建 ,             1階,5.7万円,2000円,5.7万円,-,1LDK,40m2
ＪＲ山陰本線 出雲市駅 3階建 築10年,島根県出雲市渡橋町, ＪＲ山陰本線/出雲市駅 歩19分 一畑電気鉄道松江線/電鉄出雲市駅 車5分(1.9km) 一畑電気鉄道松江線/出雲科学館パーク前駅 車6分(2.4km) , 築10年 3階建 ,             1階,5.8万円,2000円,5.8万円,-,1LDK,40m2
ＪＲ山陰本線 出雲市駅 3階建 築10年,島根県出雲市渡橋町, ＪＲ山陰本線/出雲市駅 歩19分 一畑電気鉄道松江線/電鉄出雲市駅 車5分(1.9km) 一畑電気鉄道松江線/出雲科学館パーク前駅 車6分(2.4km) , 築10年 3階建 ,             2階,6万円,2000円,6万円,-,1LDK,40m2
ニーラスク　Ａ,島根県出雲市知井宮町, ＪＲ山陰本線/西出雲駅 歩15分   , 築8年 2階建 ,             2階,5.9万円,3000円,-,5.9万円,2LDK,62.44m2
ニーラスク　Ａ,島根県出雲市知井宮町, ＪＲ山陰本線/西出雲駅 歩15分   , 築8年 2階建 ,             2階,5.9万円,3000円,-,5.9万円,2LDK,62.44m2
ファーストワンＦ,島根県出雲市中野町, 一畑電気鉄道松江線/大津町駅 歩15分   , 築10年 2階建 ,             1階,5.85万円,1700円,-,5.85万円,2LDK,55.23m2
ラ・トゥール　I,島根県出雲市斐川町直江, ＪＲ山陰本線/直江駅 歩21分   , 築12年 2階建 ,             2階,5.9万円,1700円,-,5.9万円,2LDK,57.21m2
ラ・トゥール　I,島根県出雲市斐川町直江, ＪＲ山陰本線/直江駅 歩21分   , 築12年 2階建 ,             2階,6.05万円,1700円,-,6.05万円,2LDK,57.26m2
ローズ　ガーデン　II,島根県出雲市下古志町, ＪＲ山陰本線/西出雲駅 歩13分   , 築7年 2階建 ,             2階,5.75万円,3000円,-,5.75万円,2LDK,59.59m2
トワイエ　ノールI,島根県出雲市平野町, 一畑電車大社線/高浜駅 歩18分   , 築8年 2階建 ,             1階,5.05万円,3000円,-,5.05万円,1LDK,50.07m2
ヴィラ　カメーリア　Ｂ,島根県出雲市斐川町富村, ＪＲ山陰本線/直江駅 歩16分   , 築12年 2階建 ,             2階,4.95万円,1700円,-,-,2LDK,57.06m2
ブリッサ,島根県出雲市斐川町直江, ＪＲ山陰本線/直江駅 歩20分   , 築5年 2階建 ,             1階,5.6万円,2800円,-,5.6万円,1LDK,50m2
ブリッサ,島根県出雲市斐川町直江, ＪＲ山陰本線/直江駅 歩20分   , 築5年 2階建 ,             2階,6.75万円,2800円,-,6.75万円,2LDK,61.38m2
ピゥ　フォルテ　I,島根県出雲市斐川町直江, ＪＲ山陰本線/直江駅 歩29分   , 築7年 2階建 ,             1階,5.5万円,2200円,-,5.5万円,1LDK,45.09m2
アジュール　シュッサイI,島根県出雲市斐川町出西, ＪＲ山陰本線/直江駅 歩29分   , 築4年 2階建 ,             2階,5.8万円,2800円,-,5.8万円,2LDK,52.8m2
ファミリア,島根県出雲市矢野町, 一畑電車大社線/遙堪駅 歩16分   , 築11年 2階建 ,             2階,4.9万円,2500円,-,4.9万円,2LDK,57.21m2
ローズ　ガーデン　I,島根県出雲市下古志町, ＪＲ山陰本線/西出雲駅 歩13分   , 築7年 2階建 ,             2階,5.9万円,3000円,-,5.9万円,2LDK,59.59m2
一畑電車大社線 高浜駅 2階建 築8年,島根県出雲市平野町, 一畑電車大社線/高浜駅 歩13分 一畑電車大社線/遙堪駅 歩18分 一畑電車大社線/浜山公園北口駅 車9分(3.3km) , 築8年 2階建 ,             1階,5.15万円,3000円,-,5.15万円,1LDK,50.07m2
ＪＲ山陰本線 直江駅 2階建 築11年,島根県出雲市斐川町美南, ＪＲ山陰本線/直江駅 歩26分   , 築11年 2階建 ,             1階,5.5万円,2000円,-,-,2K,46.68m2
ルミエール・Ｍ　Ａ棟,島根県出雲市高岡町, 一畑電車大社線/高浜駅 歩13分   , 築12年 2階建 ,             2階,5.6万円,2500円,-,5.6万円,2LDK,57.07m2
ルミエール・Ｍ　Ａ棟,島根県出雲市高岡町, 一畑電車大社線/高浜駅 歩13分   , 築12年 2階建 ,             2階,5.7万円,2500円,-,5.7万円,2LDK,57.07m2
一畑電車大社線 出雲大社前駅 2階建 築10年,島根県出雲市大社町北荒木, 一畑電車大社線/出雲大社前駅 歩17分 一畑電車大社線/浜山公園北口駅 歩17分 一畑電車大社線/遙堪駅 車9分(3.4km) , 築10年 2階建 ,             1階,6.2万円,2500円,6.2万円,-,2LDK,52.95m2
ＪＲ山陰本線 出雲市駅 2階建 築7年,島根県出雲市渡橋町, ＪＲ山陰本線/出雲市駅 車4分(1.6km) 一畑電気鉄道松江線/電鉄出雲市駅 車5分(1.9km) 一畑電気鉄道松江線/出雲科学館パーク前駅 車6分(2.4km) , 築7年 2階建 ,             2階,5.7万円,2200円,-,5.7万円,2LDK,56.36m2
ＪＲ山陰本線 直江駅 2階建 築9年,島根県出雲市斐川町直江, ＪＲ山陰本線/直江駅 車4分(1.6km) ＪＲ山陰本線/荘原駅 車12分(4.5km) 一畑電気鉄道松江線/大津町駅 車14分(5.3km) , 築9年 2階建 ,             1階,5.55万円,2200円,-,5.55万円,2DK,50.33m2
ＪＲ山陰本線 直江駅 2階建 築9年,島根県出雲市斐川町直江, ＪＲ山陰本線/直江駅 車4分(1.6km) ＪＲ山陰本線/荘原駅 車12分(4.5km) 一畑電気鉄道松江線/大津町駅 車14分(5.3km) , 築9年 2階建 ,             2階,5.85万円,2200円,-,5.85万円,2LDK,57.21m2
プレシャス　ファミリー,島根県出雲市国富町, 一畑電気鉄道松江線/旅伏駅 歩5分   , 築11年 2階建 ,             2階,5.5万円,2500円,-,5.5万円,2LDK,57.21m2
カルマティ　Ｃ,島根県出雲市下古志町, ＪＲ山陰本線/西出雲駅 歩20分   , 築4年 2階建 ,             1階,5.25万円,3000円,-,5.25万円,1LDK,46.35m2
カルマティ　Ｃ,島根県出雲市下古志町, ＪＲ山陰本線/西出雲駅 歩20分   , 築4年 2階建 ,             2階,6.5万円,3000円,-,6.5万円,2LDK,56.42m2
カルマティ　Ａ,島根県出雲市下古志町, ＪＲ山陰本線/西出雲駅 歩20分   , 築4年 2階建 ,             1階,5.55万円,3000円,-,5.55万円,1LDK,50.29m2
カルマティ　Ａ,島根県出雲市下古志町, ＪＲ山陰本線/西出雲駅 歩20分   , 築4年 2階建 ,             2階,6.1万円,3000円,-,6.1万円,2LDK,61.45m2
Ｌｕｍｉｅｒｅ　I,島根県出雲市斐川町沖洲, ＪＲ山陰本線/荘原駅 歩21分   , 築7年 2階建 ,             1階,4.85万円,2200円,-,4.85万円,1LDK,41.48m2
Ｌｕｍｉｅｒｅ　I,島根県出雲市斐川町沖洲, ＪＲ山陰本線/荘原駅 歩21分   , 築7年 2階建 ,             1階,4.9万円,2200円,-,4.9万円,1LDK,41.48m2
シャーメゾンNoa,島根県出雲市斐川町直江, ＪＲ山陰本線/直江駅 歩25分   , 築8年 2階建 ,             1階,6.4万円,2000円,3.2万円,3.2万円,2LDK,57.86m2
一畑電気鉄道松江線 川跡駅 2階建 新築,島根県出雲市稲岡町, 一畑電気鉄道松江線/川跡駅 歩20分   , 新築 2階建 ,             1階,4.7万円,3500円,4.7万円,-,1K,33.56m2
一畑電気鉄道松江線 川跡駅 2階建 新築,島根県出雲市稲岡町, 一畑電気鉄道松江線/川跡駅 歩20分   , 新築 2階建 ,             1階,4.7万円,3500円,4.7万円,-,1K,33.56m2
一畑電気鉄道松江線 川跡駅 2階建 新築,島根県出雲市稲岡町, 一畑電気鉄道松江線/川跡駅 歩20分   , 新築 2階建 ,             1階,4.7万円,3500円,4.7万円,-,1K,33.56m2
一畑電気鉄道松江線 川跡駅 2階建 新築,島根県出雲市稲岡町, 一畑電気鉄道松江線/川跡駅 歩20分   , 新築 2階建 ,             1階,4.7万円,3500円,4.7万円,-,1K,33.56m2
一畑電気鉄道松江線 川跡駅 2階建 新築,島根県出雲市稲岡町, 一畑電気鉄道松江線/川跡駅 歩20分   , 新築 2階建 ,             1階,4.8万円,3500円,4.8万円,-,1K,33.56m2
一畑電気鉄道松江線 川跡駅 2階建 新築,島根県出雲市稲岡町, 一畑電気鉄道松江線/川跡駅 歩20分   , 新築 2階建 ,             2階,5.4万円,3500円,5.4万円,-,1LDK,42.81m2
一畑電気鉄道松江線 川跡駅 2階建 新築,島根県出雲市稲岡町, 一畑電気鉄道松江線/川跡駅 歩20分   , 新築 2階建 ,             2階,5.4万円,3500円,5.4万円,-,1LDK,42.81m2
一畑電気鉄道松江線 川跡駅 2階建 新築,島根県出雲市稲岡町, 一畑電気鉄道松江線/川跡駅 歩20分   , 新築 2階建 ,             2階,5.4万円,3500円,5.4万円,-,1LDK,42.81m2
一畑電気鉄道松江線 川跡駅 2階建 新築,島根県出雲市稲岡町, 一畑電気鉄道松江線/川跡駅 歩20分   , 新築 2階建 ,             2階,5.4万円,3500円,5.4万円,-,1LDK,42.81m2
リトルリーフ,島根県出雲市中野町, 一畑電気鉄道松江線/大津町駅 歩12分   , 築12年 2階建 ,             1階,5.1万円,3500円,-,5.1万円,1LDK,33.41m2
リトルリーフ,島根県出雲市中野町, 一畑電気鉄道松江線/大津町駅 歩12分   , 築12年 2階建 ,             2階,5.5万円,3500円,-,-,1LDK,44.47m2
シャ・ノワールI,島根県出雲市斐川町今在家, ＪＲ山陰本線/直江駅 歩17分   , 築4年 2階建 ,             1階,5.7万円,2200円,-,5.7万円,1LDK,45.27m2
Posto　7号館,島根県出雲市上塩冶町, 一畑電気鉄道松江線/電鉄出雲市駅 歩16分 一畑電気鉄道松江線/出雲科学館パーク前駅 歩17分 ＪＲ山陰本線/出雲市駅 歩18分 , 築4年 2階建 ,             1階,5.8万円,2000円,-,2.9万円,1LDK,41.68m2
カーネリアン,島根県出雲市上塩冶町, 一畑電気鉄道松江線/電鉄出雲市駅 歩18分 一畑電気鉄道松江線/出雲科学館パーク前駅 歩19分 ＪＲ山陰本線/出雲市駅 歩20分 , 築4年 2階建 ,             1階,5.6万円,3500円,-,-,1LDK,32.77m2
カーネリアン,島根県出雲市上塩冶町, 一畑電気鉄道松江線/電鉄出雲市駅 歩18分 一畑電気鉄道松江線/出雲科学館パーク前駅 歩19分 ＪＲ山陰本線/出雲市駅 歩20分 , 築4年 2階建 ,             2階,5.9万円,3500円,-,-,1LDK,32.77m2
ドリーム　キャッチ　Ａ,島根県出雲市知井宮町, ＪＲ山陰本線/西出雲駅 歩12分   , 築5年 2階建 ,             1階,5.4万円,3000円,-,5.4万円,1LDK,47.76m2
一畑電気鉄道松江線 出雲科学館パーク前駅 2階建 築11年,島根県出雲市上塩冶町, 一畑電気鉄道松江線/出雲科学館パーク前駅 歩18分   , 築11年 2階建 ,             2階,5.7万円,2000円,5.7万円,-,1LDK,43.87m2
カミュンヌ　Ａ,島根県出雲市渡橋町, ＪＲ山陰本線/出雲市駅 歩20分   , 築5年 2階建 ,             1階,5.7万円,2200円,-,-,1LDK,46.68m2
カミュンヌ　Ａ,島根県出雲市渡橋町, ＪＲ山陰本線/出雲市駅 歩20分   , 築5年 2階建 ,             2階,7万円,2200円,-,7万円,2LDK,58.63m2
コンヴィスタ　Ａ,島根県出雲市矢野町, 一畑電車大社線/遙堪駅 歩20分   , 築14年 2階建 ,             2階,5.85万円,2500円,-,5.85万円,2LDK,60.14m2
アベニーレ　I,島根県出雲市渡橋町, ＪＲ山陰本線/出雲市駅 歩25分 一畑電気鉄道松江線/電鉄出雲市駅 歩26分  , 築4年 2階建 ,             1階,5.5万円,3500円,-,-,1LDK,32.77m2
アベニーレ　I,島根県出雲市渡橋町, ＪＲ山陰本線/出雲市駅 歩25分 一畑電気鉄道松江線/電鉄出雲市駅 歩26分  , 築4年 2階建 ,             2階,5.7万円,3500円,-,-,1LDK,32.77m2
アベニーレ　I,島根県出雲市渡橋町, ＪＲ山陰本線/出雲市駅 歩25分 一畑電気鉄道松江線/電鉄出雲市駅 歩26分  , 築4年 2階建 ,             2階,5.9万円,3500円,-,-,1LDK,34.76m2
ＪＲ山陰本線 出雲市駅 2階建 築9年,島根県出雲市上塩冶町, ＪＲ山陰本線/出雲市駅 歩12分 一畑電気鉄道松江線/電鉄出雲市駅 歩14分 一畑電気鉄道松江線/出雲科学館パーク前駅 車5分(1.7km) , 築9年 2階建 ,             1階,5.85万円,2800円,-,5.85万円,1LDK,51.76m2
レジデンスIZUMO,島根県出雲市塩冶町, 一畑バス/三本松 歩5分   , 築7年 2階建 ,             1階,5.7万円,4000円,-,-,1LDK,35.48m2
ジール　マルマツVII,島根県出雲市高松町, ＪＲ山陰本線/西出雲駅 歩37分   , 築5年 2階建 ,             1階,5.4万円,3000円,-,5.4万円,2DK,50.21m2
ジール　マルマツVII,島根県出雲市高松町, ＪＲ山陰本線/西出雲駅 歩37分   , 築5年 2階建 ,             2階,5.7万円,3000円,-,5.7万円,2LDK,61.42m2
シャーメゾンNoa,島根県出雲市斐川町上直江, ＪＲ山陰本線/直江駅 歩26分   , 築8年 2階建 ,             1階,6.4万円,2000円,-,3.2万円,2LDK,57.86m2
ＪＲ山陰本線 直江駅 2階建 築8年,島根県出雲市斐川町上直江, ＪＲ山陰本線/直江駅 歩26分   , 築8年 2階建 ,             1階,6.4万円,2000円,-,3.2万円,2LDK,57.86m2
パラダリア　Ａ,島根県出雲市斐川町上庄原, ＪＲ山陰本線/直江駅 歩38分   , 築5年 2階建 ,             2階,5.85万円,2000円,-,5.85万円,2LDK,57.22m2
グランスイート,島根県出雲市斐川町沖洲, ＪＲ山陰本線/荘原駅 歩22分   , 新築 2階建 ,             1階,5.6万円,2200円,-,5.6万円,1LDK,50.05m2
グランスイート,島根県出雲市斐川町沖洲, ＪＲ山陰本線/荘原駅 歩22分   , 新築 2階建 ,             1階,5.6万円,2200円,-,5.6万円,1LDK,50.05m2
